,accident_id,date,year,icao,iata,name,state,country,country_code,lat,lon
143,ACC1347,1999-03-19,1999,CYYR,YYR,Goose Bay Airport,NL,Canada,CA,53.3191986084,-60.4258003235
144,ACC1354,1999-05-29,1999,xxxx,xxx,Ol Kiombo,,Kenya,KE,-1.28353,36.82379
145,ACC1355,1999-06-01,1999,KDFW,DFW,Dallas/Fort Worth International Airport,TX,United States of America,US,32.8972330555556,-97.0376947222222
146,ACC1357,1999-06-25,1999,xxxx,xxx,Long Haul Lake,MB,Canada,CA,50.87301,-95.38168
147,ACC1369,1999-12-07,1999,RPLL,MNL,Manila International Airport,,Philippines,PH,14.508600235,121.019996643
148,ACC137,1970-08-30,1970,EHMZ,xxx,Midden Zeeland Airfield,,Netherlands,NL,51.5121994019,3.731110096
149,ACC1377,2000-03-17,2000,CYNL,YNL,Points North Landing Airport,SK,Canada,CA,58.2766990662,-104.0820007324
150,ACC138,1970-09-02,1970,URRR,ROV,Rostov Airport,,Russia,RU,47.2582015991,39.8180999756
151,ACC1380,2000-04-01,2000,xxxx,xxx,Estancia Las Cruces,ER,Argentina,AR,-34.6085,-58.37344
152,ACC1382,2000-05-10,2000,PHOG,OGG,Kahului Airport,HI,United States of America,US,20.8986486111111,-156.430458611111
